memory, inkling	abhav                 अभाव                                                          n.                       non-existence, absence,
instrument	shatruta            शत्रुता                     n.     enmity, hostility
instrument	shaucalaya          शौचालय                      n.     rest room, toilet
instrument	shav                शव                          n.     corpse
122	shayad            शायद                    adv.    perhaps, maybe
122	sherpa            शेर्पा                  n.      Sherpa [a Nepali
nationality]	shikariko svarg   शिकारीको स्वर्ग         n.      hunting paradise
nationality]	shiksha           शिक्षा                  n.      education
nationality]	shikshak          शिक्षक                  n.      teacher
nationality]	shikshan          शिक्षण                  n.      teaching, instruction,
education	shir              शिर                     n.      head, crest, noddle,
summit, top of anything	Shista            शिष्ट                   adj.    gentle, polite, mannerly,
trained	shisya            शिष्य                   n.      student, pupil, disciple
trained	shithilta         शिथिलता                 n.      feebleness, weakness,
looseness, laxity	०
looseness, laxity	shlok             श्लक                    n.      verse, stanza, poetry,
couplet	shobha            शोभा                    n.      beauty, handsomeness,
lustre, replendence	shos              शोष                     n.      suction, drying up,
absorption, sucking	shosak            शोषक                    adj.    absorbent, withering
absorption, sucking	shosan            शोषण                    n.      suction, drying up,
exploitation	shosit            शोषित                   adj.    exploited
exploitation	shram             श्रम                    n.      hard labour, toil, exertion
exploitation	shravan           श्रावण                  n.      fourth month of the Nepali
year [July-August]	shri              श्री                    n.      Mr., Mrs., Ms., Miss
year [July-August]	shrilangka        श्रीलङ्गा               n.      Sri Lanka
year [July-August]	shriman           श्रीमान                 n.      husband
year [July-August]	shrimati          श्रीमती                 n.      wife
year [July-August]	shuddha           शुद्ध                   adj.    pure, genuine, chaste,
uncorrupted, unadulterated	shukavar          'शुकवार                 n.      Friday
uncorrupted, unadulterated	shukla paksha     शुक्ल पक्ष              comp.   the moonlit half of a lunar
123	shukravar     शुक्रवार           n.        Friday
123	shunya        शन्य               n./adj.   empty,     nill, zero
123	shur          श्र                adj.      hero, warrior, champion
123	shuru         शुरू               n.        start, beginning
123	shuru garnu   शुरू गर्नु                   to start, to begin
123	shyarpa       श्यार्पा           n.        Sherpa [a Nepali
nationality]	siddhanta     सिद्धान्त          n.        doctrine, tenet, established
truth	siddhi        सिद्धि             n.        perfection,
fulfilment, victory	siddhyaunu    सिद्धयाउनु         v.t.      to finish, to complete, to kill
fulfilment, victory	sikkim        सिक्किम            n.        Sikkim
fulfilment, victory	siknu         सिक्नु             v.t.      to learn
fulfilment, victory	silbar        सिल्बर             n.        aluminium
fulfilment, victory	siling        सिलिङ              n.        ceiling
fulfilment, victory	sima          सीमा               n.        boundary,      border,    limit,
landmark	simana        सिमाना             n.        boundary,      border,    limit,
landmark	simi          सिमी               n.        bean
landmark	simit         सीमित              adj.      limited, restricted
sinbi         reat               n.        bean	sincal        सिँचाइ             n.        watering, irrigation
sinbi         reat               n.        bean	sincit        सिञ्चित            adj.      irrigated, drenched
sinbi         reat               n.        bean	sindur        सिंद्र             n.        vermilion, lead powder
sinbi         reat               n.        bean	sindure       सिंद्रे            adj.      scarlet, vermilion-coloured
sinbi         reat               n.        bean	singgapur     सिंगापुर                     Singapur
sinbi         reat               n.        bean	sinha         सिँह               n.        lion
sinbi         reat               n.        bean	sinhasan      सिंहासन            n.        throne, lion's seat
sinbi         reat               n.        bean	sinki         सिन                n.        soured raddish, fermented
raddish	Sip           सीप                n.        handicraft,     handiwork,         art,
craft, arts and crafts, skill	sipahi        सिपाही             n.        soldier
craft, arts and crafts, skill	sipalu        सिपालु             adj.      skilful, experienced, clever,
skilled	sipharish     सिफारिश            n.        recommendation,          letter of
support; intercession	sirak            सिरक                  n.       quilt
support; intercession	sirani           सिरानी                n.       pillow
support; intercession	sirjana          सिर्जना               n.       creation, formation,
construction	sisa             सीसा                  n.       lead
construction	sita             सित                   postp.   with, along with
construction	siune kal        सिउने कल              n.       sewing machine
construction	siunu            सिउनु                 VI.      to sew, to stitch
construction	siyo             सियो                  n.       needle
construction	skulma padhnu    स्कूलमा पढ्नु         comp.    to go to school
construction	smaran-patra     स्मरण पत्र            n.       reminder,        memorandum
construction	smarika          स्मारिका              n.       monument, memorial:
commemorative volume	smriti           स्मृति                n.       memory, remembrance,
memento	smriti-patra     स्मृति पत्र           n.       reminder,        memorandum
memento	snan             स्तान                 n.       bath
memento	snankotha        स्तानकोठा             n.       bathroom
income	srot ra sadhan   श्रोत र साधन          n.       resources
income	stambha          स्तम्भ                n.       column
income	stan             स्तन                  n.       breast
125	stava         स्तव                n.     praise, admiration;     prayer,
hymn	steshan       स्टेशन              n.     station
hymn	sthagit       स्थगित              adj.   postpones, adjourned
hymn	sthan         स्थान               n.     place, spot, site, position,
house	sthaniya      स्थानीय             adj.   local, territorial, regional,
topical	sthapan       स्थापन              n.     establishment, foundation,
planting, placing	sthapana      स्थापना             nN.    establishment, foundation,
planting, placing	sthapit       स्थापित             adj.   propounded, founded,
installed	sthayi        स्थायी              adj.   permanent, stationary,
stable, steady	sthayitva     स्थायित्व           n.     permanence, durability,
determined, patient	sthirata      स्थिरता             n.     immobility, steadiness,
immutability,    patience	sthiratva     स्थिरत्वा           n.     immobility, steadiness,
immutability, patience	sthiti        स्थिति              n.     place, position,
phase, equilibrium	striling      स्त्रीलिङ्ग         n.     female [grammar]
phase, equilibrium	stuti         स्तति               n.     praise, glorification, eulogy,
invocation, solemn prayer	subista       सुबिस्ता            n.     easiness, comfort
invocation, solemn prayer	subistako     सुबिस्ताको          adj.   comfortable, easy
invocation, solemn prayer	sucana        सूचना               n.     notice, notification,
indication, hint	sucanapatra   स्‌चनापत्र          n.     advertisement,      notice
126	SUCI        स्‌चि             n.        needle, a pointed piece of
iron, goad, prong	SUCI        स्‌ची             n.        liste, table, index,
catalogue	sudhar      सुधार             n.        improvement, reform,
sukul	सुकुल             n.        a kind of straw mat, a
respectable family	sukumvasi   सुकुमवासी         n./adj.   a homeless person,
homeless	sukuti      सुकुटी            n.        dried meat, jerk
homeless	sun         सुन               n.        gold
homeless	sunaulo     सुनौलो            adj.      golden
homeless	sunaunu     सुनाउनु           v.t.      to make others hear, to tell
homeless	sundar      सुन्दरर्‌         adj.      beautiful, nice, pretty,
sungur	सुँगुर            n.        pig, hog
sungur	suntala     सुन्तला           n.        tangerine
sungur	suntale      मुन्तले          adj.      orange-coloured
sungur	sunuvar     सुनुवार           n.        Sunuwar [a Nepali
nationality]	supari      सुपारी            n.        areca nut, betel nut
nationality]	suraksha    सुरक्षा                     protection, security
nationality]	surakshit   सुरक्षित          adj.      well protected, in safety
127	surti         सुर्ती              n.     tobacco
127	suruva        सुरुवा              n.     meat broth, meat soup
surya         aa                  n.     sun	susajjit      सुसज्जित            adj.   well adorned, well prepared
surya         aa                  n.     sun	susangat      सुसंगत                     well associated, well
accompanied;       reasonable	susangata     सुसंगता             n.     good association, good
companionship	susangati     सुसंगति             n.     good companionship
suselnu	सुसेल्नु            v.t.   to whistle
suselnu	suselo        सुसेलो              n.     whistling, sighing; whistling
while flowing	sushasan      सुशासन              n.     good government, good
rule, good administration	sushri        सुश्री              n.     Miss
rule, good administration	susta         सुस्त               adj.   lazy, slow, idle, tardy,
inactive	sutne kotha   सुत्ने कोठा         n.     bed room
inactive	सुत्नु
go to bed, to lie down	sutrapat      स्‌त्रपात           n.     beginning, commencement
go to bed, to lie down	suvidha       सुविधा              n.     facility, convenience
go to bed, to lie down	suvista       सुविस्ता            n.     easiness, comfort
go to bed, to lie down	svabhav       स्वभाव              n.     habit, nature, temperament,
character	svabhavatah   स्वभावतः            adv.   naturally, by nature
character	svabhavik     स्वभाविक            adj.   natural, by nature
character	svaccha       स्वच्छ              adj.   clean, clear, pure,
transparent	svad          स्वाद               n.     taste
transparent	svadhin       स्वाधीन             adj.   independent, free, self-
governing, autonomous	svadhinata    स्वाधीनता           n.     independence,       freedom,
autonomy	svami         स्वामी              n.     master, owner,      lord,
proprietor, husband	svar          स्वर                n.     voice, sound, tune, tone,
a pleasant site	svargavas           स्वर्गवास                n.      death, passing away
a pleasant site	svarup              स्वरूप                   n.      shape, form, apperarance
a pleasant site	svasni              स्वास्नी                 n.      wife [common]
a pleasant site	svasnimanche        स्वास्तीमान्छे           n.      woman
a pleasant site	svasth              स्वस्थ                   adj.    healthy
a pleasant site	svasthya            स्वास्थ्य                n.      health
a pleasant site	svatah              स्वतः                    adj.    voluntarily, spontaneous,       of
one's own accord	svatantra           स्वतन्त्र                adj.    free
one's own accord	svatantrata         स्वतन्त्रता              n.      freedom, independence
one's own accord	svatantrata divas   स्वतन्त्रता दिवस                 independence day
one's own accord	svayam              स्वयम                    adv.    personally, self
one's own accord	svayambhunath       स्वायम्भूनाथ             n.      Swayambhunath
one's own accord	svayamev            स्वयमेव                  adv.    personally, self
one's own accord	svayamsevak         स्वयमसेवक                n.      volunteer
one's own accord	svayang             स्वयं                    adj.    personally, self
one's own accord	svayatta            स्वायत्त                 adj.    autonomous,       under one's
control	svayatta shasan     स्वायत्त शासन            n.      autonomy,       self-government
control	svayattashasi       स्वायत्तशासी                     autonomous
control	svayattata          स्वायत्तता               n.      autonomy
control	svikar              स्वीकार                  n.      acceptance, confession,
assent, agreement	svikrit             स्वीकृत                  adj.    accepted, agreed,
consented, conferred	svikriti            स्वीकृति                 n.      acceptance,      sanction,
acknowledgement, consent	syal                स्याल                    n.      jackal
acknowledgement, consent	syau                स्याउ                    n.      apple
acknowledgement, consent	tadha               टाढा                     adj.    far (away)
acknowledgement, consent	tadkanu             तडकनु                    ४.1.    to walk speedily, to shout,
tadkinu	तडकिनु                   VI.     to walk speedily, to shout,
to cry	tal                 ताई                      n.      flat iron pan
to cry	taipani             तैपनि                    Conj.   though,     notwithstanding
to cry	taja                ताजा                     adj.    fresh, not stale; green,
unfaded; recent	tak        ताक             n.       time, hour, opportunity,
chance	tak        ट्क             n.       reflection, light; gazing,
things with closing the eyes	takaliph   तकलीफ           n.       trouble, pain, affliction
things with closing the eyes	takiya     तकिया           n.       pillow
things with closing the eyes	takuro     टाकुरो          n.       summit, top, peak, apex
things with closing the eyes	tal        ताल             n.       lake
things with closing the eyes	tala       ताला            n.       lock
things with closing the eyes	tala       तला             n.       floor
things with closing the eyes	talak      तलक             postp.   upto, as long as
things with closing the eyes	talca      ताल्चा          n.       lock
things with closing the eyes	talika     तालिका          n.       list, key, table, schedule
things with closing the eyes	talim      तालीम           n.       training, teaching
things with closing the eyes	talkanu    टल्कनु          VI.      to shine, to glitter, to
sparkle	talkinu    टल्किनु         VI.      to shine, to glitter, to
sparkle	talmel     तालमेल          n.       co-ordination,
agreement	talu       तालु            n.       palate
agreement	tama       तामा            n.       copper
agreement	tamakhu    तमाखु           n.       tobacco
agreement	tamang     तामाङ           n.       Tamang [a Nepali
nationality]	tamsanu    तम्सनु          VI.      to be forward, to be active
tamu	तसु             n.
nationality]	tanahun    तनहुँ           n.       Tanahun [former mini-state;
Nepal]	tanav      तनाव            n.       tension, tenseness, strain,
tautness	tanba      ताँबा           n.       copper
tautness	tanda      तन्दा           n.       bed-sheet
tautness	tannu      तान्नु          v.t.     to draw, to pull, to drag
warmth	tap          ताप                    n.       heat, warmth;      mental
sorrow, anxiety, regret	tapani       तापनि                  Conj.    although, nevertheless
sorrow, anxiety, regret	tapari       टपरी                   n.       a plate made of leaves,
leaf-plate	tapke        ताप्के                 n.       frying pan
leaf-plate	tar          तर                     n.       cream
leaf-plate	tara         तारा                   n.       star
leaf-plate	tara         तर                     Conj.    but
leaf-plate	taranga      तरङ्ग                  n.       wave, whim, caprice;
emotion, vibration	taraph       तरफ                    n.       direction, side
emotion, vibration	taraph       तरफ                    Conj.    towards
emotion, vibration	tarbuja      तर्बुजा                n.       watermelon
emotion, vibration	tari khet    टारी खेत               n.       terraced field
emotion, vibration	tarika       तरीका                  n.       method,    manner, way,
means	tarikh       तारीख                  n.       date [according to the
western calendar]	tariko sag   तारीको     साग         n.       mustard greens [small]
western calendar]	tark         तक                     n.       debate, discussion,
argument	tarkari      तर्कानी                n.       vegetable curry
argument	tarnu        तार्नु                 v.t.     to deep fry
argument	tarph        तफ                     Conj.    towards
argument	tarph        तफ                     n.       direction, side
argument	tarphbata    तफबाठ                  postp.   on the part of, from
argument	tarul        तरुल                   n.       yam
argument	tarun        तरुण                   n.       young man, youth, juvenile
argument	taruno       तरुनो                  n.       young man, youth, juvenile
argument	tasartha     तसर्थ                  int.     on account of that, from
that reason, therefore	taskar       तस्कर                  n.       smuggler
that reason, therefore	taskari      तस्करी                 n.       smuggling
that reason, therefore	tat          तट                     n.       shore, bank, beach, coast
that reason, therefore	tatastha     तटस्थ                  adj.     neutral, objective,
indifferent	tataunu        तताउनु             v.t.    to heat, to warm      up
indifferent	tatha          तथा                Conj.   and
indifferent	tathya         तथ्य               n.      truth, reality, substance
indifferent	tato           टाटो               n.      mark, spot, scar, stain
indifferent	tato           तातो               adj.    warm,     hot
indifferent	tato pani      तातो पानी                  hot water, warm water
existence	tau            ताउ                n.      sheet
of paper	tauko          टाउको              n.      head
of paper	taulanu        तौलनु              v.t.    to weigh, to compare
of paper	tauliya        तौलिया             n.      towel
of paper	tavar          तवर                n.      manner, way,       mode,
method	tayar          तयार               adv.    ready
method	tayar garnu    तयार गर्नु         v.t.    to make ready
method	tayar hunu     तयार हुनु          ४.1.    to be ready, to make          ready
method	tayarima       तयारी              n.      readiness,      preparation
method	tebbar         तेब्बर             adj.    thrice, threefold, three
tesro                             adj.    third	thagaha        व्गाहा             n.      cheat, knave, swindler
tesro                             adj.    third	thagnu         ठ्ग्तु             VI.     to cheat, to deceive
tesro                             adj.    third	thaha          थाहा               n.      knowledge, information
132	thakal             थकाइ                 n.     fatigue, weariness,
exhaustion	thakali            थकाली                n.     Thakali [a Nepali
nationality]	thaknu             थाक्नु               VI.    to get tired, to become
tired, to be exhausted	thal               थाल                  n.     plate
tired, to be exhausted	thal               थाली                 n.     small plate
tired, to be exhausted	thalni             थाल्नी               n.     beginning, commencement
tired, to be exhausted	thalnu             थाल्नु               v.t.   to begin, to start, to
commence	thalo              थलो                  n.     place, land; levelled high
place, table land	thamaunu           ठमाउनु               v.t.   to recognize, to know
place, table land	thami              थामी                 n.     Thami [a Nepali nationality]
place, table land	thamyaunu          ठम्याउनु             v.t.   to recognise, to know
place, table land	thana              थाना                 n.     police station. police post
place, table land	thana              ठाना                 n.     police station. police post
place, table land	thanda             ठन्डा                adj.   cold, chilly
place, table land	thanda marubhumi   ठण्डा मरुभमि                tundra
place, table land	thannu             ठान्नु               v.t.   to think, to determine
place, table land	thapnu             थाप्नु               v.t.   to establish, to erect, to
place	thar               थर                   n.     clan, tribe, subcaste
place	tharkaunu          थर्काउनु             v.t.   to frighten, to shake
place	tharu              थारु                 n.     Tharu [a Nepali nationality]
place	thati              थानी                 n.     pawn, stake, postponement
place	thaun              ठाउँ                 n.     place, spot, opportunity
place	thegnu             थेग्नु               ४.1.   to last, to persist, to endure
place	theknu             ठेक्नु               v.t.   to fix, to sum   up, to appoint,
to post	thicnu             थिच्नु               v.t.   to press, to crush, to
squeeze	thik               ठीक                  adj.   right, correct
squeeze	thiti              ठिटी                 n.     lass, girl, young women
squeeze	thiti              थिति                 n.     arrangement, order,
custom,   regulation, usage	thiti-riti         थिति-रिति            n.     arrangement, order,
basket	thuprai aunu                                  ४.1.     to pour in, to swarm       in
basket	tiknu                                         ४.1.     to last, to remain, to endure
basket	tin                 तीन                       num.     three, 3
basket	tinma               तिनमा                              under it, under them,           under
there	tinma adhi bhanda   तिनमा आघी    भन्दा केही            a little bit more than half of
there	बढी
there	tippani             टिप्पणी                   n.       note, annotation, comment,
critical remark	tippanikar          टिप्पणीकार                n.       commentator
critical remark	tira                तिर                       postp.   towards,    in direction to
tirnu	तिर्नु                    v.t.     tp pay
tirnu	tirsana             तिर्सना                   n.       desire for drink and food,
team	topalnu              टोपल्नु                  v.t.    to pretend, to make a
pretext	tori                 तोरी                     n.      mustard
pretext	torika phul dekhnu   तोरीका फल देख्नु                 to be astonished
pretext	tran                 त्राण                    n.      protection, defence, safety
pretext	triohuj              त्रिभुज                  n.      triangle
pretext	tricalis             त्रिचालीस                num.    forty-three, 43
pretext	trinattar            त्रिहत्तर                num.    seventy-three,      73
pretext	tripanna             त्रिपन्न                 num.    fifty-three, 53
pretext	trisatthi            त्रिसट्ढी                num.    sixty-three, 63
pretext	tritiya purus        तृतीय पुरुष              n.      third person [ling.]
pretext	tritiyapurusvacak    तृतीय पुरुषवाचक          n.      third person [grammar]
pretext	triyakalap           त्रियाकलाप               n.      function, task
pretext	triyanabbe           त्रियानब्बे              num.    ninety-three, 93
pretext	triyasi              त्रियासी                 num.    eighty-three, 83
pretext	tukra                टुक्रा                   n.      a small piece,
tukrinu	टुक्रिनु                 VI.     to be divided to pieces
tukrinu	tulana               तुलना                    n.      comparison,       similarity
tunginu	टुंगिनु                  VI.     to come to an end, to be
135	tyaso hunale     त्यसो हुनाले         001].   so, thus
135	tyasprati        त्यसप्रति            adv.    in this connection,
concerning this	tyasto           त्यस्तो              pron.   such, that kind of, like that
concerning this	tyatiko          त्यतिको              adj.    that much, that big
concerning this	ubhayaling       उभयलि                n.      double gender
concerning this	ubhinu           उभिनु                ४.1.    to stand up, to stand, to get
up	ubhyaunu         उभ्याउनु             v.t.    to cause to stand, to raise
up	ubjani           उब्जनी               n.      production, productivity
up	ubjanu           उब्जनु               ४.1.    to grow, to grow up, to be
produced	ubjaunu          उन्जाउनु             v.t.    to produce, to cause to
grow	ubranu           SIT                  ४...    to be left over
grow	ucalnu           उचाल्नु              v.t.    to lift up
grow	ucca             उच्च                 adj.    high, lofty, upper, superior
grow	ucca parvatiya   उच्च पर्वतीय         adj.    alpine
grow	udaharan         उदाहरण               n.      instance, example,
illustration	udaharaniya      उदाहरणीय             adj.    exemplary
illustration	udan             उडान                 n.      flight, act of flying or fleeing
illustration	udar             उदार                 adj.    high minded, munificent,
noble-minded	udarashaya       उदाराशय              adj.    generous, high-minded,
magnanimous	udarta           उदासता               n.      generosity, liberality,
magnanimity, nobleness	udarvad          उदारवाद              n.      liberalism
magnanimity, nobleness	udarvadi         उदारवादी             n.      liberal, liberalist
magnanimity, nobleness	udas             उदास                 adj.    sad
magnanimity, nobleness	udasi            उदासी                adj.    sad
magnanimity, nobleness	udaunu           उडाउनु               v.t.    to cause to fly; to waste, to
squander,    to gobble	udaunu           उदाउनु               VI.     to rise (Sun or moon)
squander,    to gobble	udaya            उदय                  n.      rising, ascent, dawning
purpose	uddeshya         उद्देश्य             n.      aim, objective
136	uddhar       उद्धार           n.        kindness,    charity
136	udgar        उद्गार           n.        exclamation, emotional
statement	udharnu      उधार्न           v.t.      to rip up
statement	udhinnu      उधिन्नु          v.t.      to dig up, to pick out, to find
out, to search, to select	udnu         उड्नु            V.1.      to fly
out, to search, to select	udus         उडुस             n.        bedbug
out, to search, to select	udyamashil   उद्यमशील         adj.      industrial
out, to search, to select	udyat        उद्यत            adj.      ready, prepared, raised,
brought up	udyog        उद्योग           n.        industry, enterprise, effort,
diligence	udyogi       उद्योगी          adj.      industrious
diligence	ugharnu      उघार्नु          v.t.      to open, to unlock
diligence	ughranu      oat              ४...      to be opened
diligence	ugra         उग्र             adj.      wrathful, angry, fierce
gradient; steep	ukhelnu      उखेल्नु          v.t.      to uproot, to remove
ukhu                          n.        sugar cane	उखु
ukhu                          n.        sugar cane	ukkaunu      उक्काउनु         v.t.      to break open, to initiate
ukhu                          n.        sugar cane	ukkinu       उक्किनु          ४.1.      to be selected, to be picked
out	uklanu       उक्लनु           v.t.      to climb up, to ascend
out	ukta         उक्त             adj.      mentioned,     said
out	ukti         उक्ति            n.        statement,    remark, a
137	ukusmukusaunu   उक्‌समुक्‌साउनु         v.t.   to stifle, to cause
claustrophobia	ullangghan      उल्लंघन                 n.     violation, contravention
claustrophobia	ullas           उल्लास                  n.     joy, delight
claustrophobia	ullekh          उल्लेख                  n.     mention, reference,
description	ullekhniya      उल्लेखनीय               adj.   remarkable, worthy of
being mentioned	ullikhit        उल्लेखित                adj.   written, mentioned
being mentioned	ulto            उल्टो                   adj.   opposite, upside-down
being mentioned	umalnu          उमाल्नु                 v.t.   to cause to boil
being mentioned	umarmmu         उमार्नु                 v.t.   to cause to sprout
being mentioned	umedvar         उमेदवार                 n.     candidate
being mentioned	umer            उमेर                    n.     age, length of life
being mentioned	umkanu          उम्कनु                  VI.    to escape, to get free, to
slip out	umlanu          उम्लनु                  VI.    to boil, to bubble up, to
simmer	ummedvar        उम्मेदवार               n.     candidate
simmer	umranu          उम्रनु                  VI.    to sprout, to spring up, to
grow up	un              उन                      n.     wool
grow up	unancas         उनन्चास                 num.   forty-nine, 49
grow up	unannabbe       उनान्नब्बे              num.   eighty-nine
grow up	unansattari     उनान्सत्तरी             num.   sixty-nine, 69
grow up	unansaya        उनान्सय                 num.   ninety-nine, 99
grow up	unasi           उनासी                   num.   seventy-nine, 79
grow up	uncalis         उन्चालीस                num.   thirty-nine, 39
grow up	unco            उँचो                    adj.   high
grow up	unco            उँचो                    adj.   high
grow up	uni kammal      उनी कम्मल               n.     wollen blanket
grow up	unmulan         उन्मूलन                 n.     uprooting, destruction,
eradication	unnais          उन्नाईस                 num.   nineteen,      19
eradication	unnat           उन्नत                   adj.   risen, progressed,
improved	unnati          उन्नति                  n.     progress,      rise,
elevation	unnatishil     उन्नतिशील           adj.   progressive
elevation	unnayak        उन्नायक             n.     uplifter, reformer,    leader
elevation	unnayan        उन्नयन              n.     uplift, develooment
elevation	unnu           उन्नु               v.t.   to wreath, to thread, to
through a needle	unsathi        उन्साढी             num.   fifty-nine, 59
unta           we                  n.     camel	untis          उन्तीस              num.   twenty-nine, 29
unta           we                  n.     camel	upabhog        उपभोग               n.     enjoyment
unta           we                  n.     camel	upabhokta      उपभोक्त             n.     consumer, user
unta           we                  n.     camel	upacar         उपचार               n.     remedy,    medical treatment,
care	upadesh        उपदेश               n.     instruction, counsel,      lesson
care	upadhi         उपाधि               n.     title, attribute, designation,
status	upahar         उपहार               n.     present, gift
status	upaj           उपज                 n.     crop, produce, product
status	upakhyan       उपाख्यान            n.     legend, tale, episode (of a
narration); proverb, sying	upakram        उपक्रम              n.     plan, programme,
preamble, preface	upalabdha      उपलब्ध              adj.   gained, felt, acquired,
attained, available	upalabdhi      उपलब्धी             n.     achievement,
accomplishment	upalakshya     उपलक्ष्य            n.     sign, implication, ourpose,
occasion	upama          उपमा                n.     comparison,      simile,
likeness	upanisad       उपनिषद्‌            n.     Upanishads (the
vedas)	upanisadvadi   उपनिषद्वाली         n.     (someone who is following
Upanishads)	upansanhar     उपसंहार             वी.    conclusion, Summary
Upanishads)	upanyas        उपन्यास             n.     novel
139	upar                 उपर                     postp.   above, over, for
139	uparastrapati        उपराष्ट्रपति            n.       vice-president
139	uparna               उपर्ना                  n.       scarf, shawl
139	upasabhapati         उपसभापति                n.       vice-chairman [of a
party]	upasthiti            उपस्थिति                n.       presence,     attendance
party]	upatya               उपत्य                   n.       valley
party]	upa-usnakatibandhi   उप उष्णकटिबन्धी         adj.     subtropical
party]	upayog               उपयोग                   n.       use, utilization, application
party]	upayogita            उपयोगिता                n.       usefulness, utility
party]	upayukta             उपयुक्त                 adj.     proper, suitable,
appropriate	upeksha              उपेक्षा                 n.       slight, indignity, neglect,
disregard, contempt,          scorn	upekshit             उपेक्षित                adj.     neglected, ignored,
discarded, disregarded	uphranu              उफ्रनु                  VI.      to jump, to leap
discarded, disregarded	upiyan               उपिया                   n.       flea
discarded, disregarded	uralnu               उराल्नु                 v.t.     to instigate, to incite
discarded, disregarded	urlanu               उर्लनु                  VI.      to surge up, to rise up, to
angry	usa                  उषा                     n.       dawn, daybreak
angry	usinnu               उसिन्नु                 v.t.     to boil while cooking
angry	USO                  उसो                     adj.     like that, such
angry	uta                  उता                     adv.     there, thither
angry	utarnu               उतार्नु                 v.t.     to cause to get off, to cause
(clothes)	uthal-puthal         उथल पुथल                n.       overturning, change
(clothes)	uthaunu              उठाउनु                  v.t.     to wake up, to rouse, to
uthnu	उठ्नु                   ४.1.     to get up, to stand up, to
stand	uti                  उति                     adv.     that much
stand	utnikher             उत्निखेर                adv.     meanwhile, at that time
stand	utpadan              उत्पादन                 n.       production
stand	utpatti              उत्पत्ति                n.       Origin, production
140	utpidak         उत्पीडक                   n.        oppressor
140	utpidit         उत्पीडित                  n.        oppression, persecution,
harassment	utpidit varga   उत्पीडित           वर्ग   n.        oppressed class
harassment	utranu          उत्रनु                    VI.       to get off, to descend, to
above	utrinu          उत्रिनु                   VI.       to get off, to come down, to
descend	utsaha          उत्साह                    n.        enthusiasm, excitement
descend	utsav           उत्सव                     n.        entertainment, festival,
celebration, festivity	utsukta         उत्सुकता                  n.        enthusiasm, excitement
celebration, festivity	uttam           उत्तम                     adj.      supreme,      best
celebration, festivity	uttano          उत्तानो                   adj.      flat on one's back
celebration, festivity	uttar           उत्तर                     n.        answer,    reply; north
celebration, festivity	uttaradhikari   उत्तराधिकारी              n.        heir, successor, inheritor
celebration, festivity	uttardayi       उत्तरदायी                 adj.      responsible, answerable,
accountable	uttejit         उत्तेजित                  adj.      excited, quickened
accountable	utthan          उत्थान                    n.        upliftment; progress,
emancipation	vacan           वचन                       n.        speech,    utterance, talk
emancipation	vad             वाद                       n.        theory, dispute, controversy
emancipation	vaicarik        वैचारिक                   adj.      ideological
emancipation	vaidhanik       वैधानिक                   adj.      constitutional, according to
a	vaishakh        वेशाख                     n.        first month of the Nepali
year [April-May]	vajracarya      वज्राचार्य                n.        Vajracharya, Bajracharya,
priest	vaktavya        वक्तव्य                   n.        speech, statement, topic
priest	vampanthi       वामपन्थी                  n./adj.   leftist
priest	van biralo      वन        बिरालो          n.        wild cat
priest	van upabhokta   वन उपभोक्ता समृह          n.        forest users group
samuha	vanbhoja        वाभोज                     n.        picknick
samuha	vanijya         वाणिज्य                   n.        trade, commerce,      business
samuha	vanko dhan      वनको         धान          n.        forest resources
samuha	vansha           वंश                  n.     clan, pedigree, dynasty,
generation	vardan           वरदान                n.     boon
generation	varga            वर्ग                 n.     class, kind, series, row
generation	varga mil        वर्ग मील             n.     square mile
generation	vargahin         वर्गहीन              adj.   classless
generation	vargahin samaj   वर्गहीन समाज         n.     classless society
generation	varipari         वरिपरि               adv.   all round,   round about, on
all sides	varnan           वर्णन                n.     description, narration,
encomium	varsa            वर्ष                 n.     year
encomium	varsa            वर्षा                n.     rains, rainy season,
monsoon	varta            वार्ता               n.     discourse, account,
dialogue	vartalap         वार्तालाप            n.     dialogue, conversation,
talk, discourse	vartaman         वर्तमान              adj.   current, existing, modern,
current time, present time	vasanta          वसन्त                n.     spring
current time, present time	vasi             वासी                 n.     inhabitant, dweller
current time, present time	vastavik         वास्तविक             adj.   in reality, essential,
genuine, true, virtual	vastavikta       वास्तविकता           n.     reality, truth
genuine, true, virtual	वस्तु
article, property; cattle	vastutah         वस्तुतः              adv.   in reality
article, property; cattle	vatavaran        वातावरण              n.     condition, surrounding,
circumstances, situation	veda             वेद                  n.     Veda
circumstances, situation	vela             वेला                 n.     time
circumstances, situation	veshya           वेश्या               n.     prostitute, whore,    harlot
circumstances, situation	vibhag           विभाग                n.     section, part, department
circumstances, situation	vibhagiya        विभागीय              adj.   departmental,    related to the
department	vibhajan         विभाजन               गी.    section, part, department
department	vibhinna         विभि                 adj.   various, diverse, different
142	vicalan               विचलन                      n.        departure, deviation,
unsteadiness	vicar                 विचार                      n.        consideration, observation,
notion, idea, judgement	videsh                विदेश                      n.        foreign country
notion, idea, judgement	videshi               विदेशी                     n.        foreigner
notion, idea, judgement	videshi sahayata      विदेशी सहायता              n.        foreign aid
notion, idea, judgement	vidhan                विधान                      n.        legislation, act, law,
ordinance,      regulation, rule	vidheyak              विधेयक                     n.        bill [in a legislature]
ordinance,      regulation, rule	vidhi                 विधि                       n.        method,       procedure,   law,
